,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-06-24 13:33:04.830000,Ant_Post_Lower_DQA_2dynamics_20210624132312_401_000,818.0,198.55793472056888,16.5799503326416,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2021-06-24 13:26:21.100000,Ant_Post_Upper_DQA_2dynamics_20210624132312_201_000,798.0,204.80323465887446,20.298511505126953,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2021-06-24 12:07:13.030000,Ant_Post_Lower_DQA_2dynamics_20210624115728_401_000,812.0,203.15272209659474,17.040456771850586,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2021-06-24 11:59:53.080000,Ant_Post_Upper_DQA_2dynamics_20210624115728_201_000,785.0,175.02791818806088,20.583993911743164,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2021-07-01 08:07:50.337500,HN_DQA_20210701080647_00,1443.0,317.3121466743251,11.670601718887934,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2021-06-30 09:20:41.070000,Head_DQA_2dynamics_20210630091516_201_000,1452.0,58.981113807441204,54.43528747558594,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2021-06-30 09:32:17.510000,HN_Head_DQA_2dynamics_20210630092812_201_000,1384.0,130.67990013952445,59.87945556640625,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2021-06-30 09:37:09.840000,HN_Neck_DQA_2dynamics_20210630092812_301_000,1040.0,94.48520817192613,69.83230590820312,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2021-06-25 09:06:39.010000,Flex_L_coil_DQA_2dynamics_20210625090303_201_000,1171.0,85.42852350390575,41.787139892578125,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2021-06-29 09:16:37.510000,Flex_L_coil_DQA_2dynamics_20210629090051_201_000,1244.0,122.90187804580196,32.449729919433594,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
10,2021-06-25 09:24:55.520000,Flex_M_coil_DQA_2dynamics_20210625091412_201_000,1123.0,95.50331019767064,41.11220932006836,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
11,2021-06-29 09:30:14.860000,Flex_M_coil_DQA_2dynamics_20210629092431_201_000,1008.0,82.9942169528928,35.15522384643555,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
12,2021-06-25 09:38:56.900000,Flex_S_coil_DQA_2dynamics_20210625093155_201_000,640.0,61.897560176937645,60.85737991333008,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
13,2021-06-29 09:51:26.360000,Flex_S_coil_DQA_2dynamics_20210629093909_401_000,1013.0,106.34827387298981,32.344970703125,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
