,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-05-06 12:01:34.230000,Ant_Post_Lower_DQA_2dynamics_20210506114212_50200,782.0,187.60399983675956,16.074804503892842,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2021-05-06 11:47:46.700000,Ant_Post_Upper_DQA_2dynamics_20210506114212_30200,733.0,182.77701665784284,17.880396068434887,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2021-05-06 12:22:34.820000,Ant_Post_Lower_DQA_2dynamics_20210506120941_40200,750.0,184.85533278183252,17.41635121526425,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2021-05-06 12:14:11.410000,Ant_Post_Upper_DQA_2dynamics_20210506120941_20200,732.0,178.84366569381015,20.517427875981372,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2021-05-01 08:09:53.342500,HN_DQA_20210501080844_00,1230.0,251.4142467956769,14.45986767436224,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2021-05-06 08:17:07.365000,HN_DQA_20210506081601_00,1393.0,295.8791332615985,12.685492936271334,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
6,2021-05-07 08:03:07.367500,HN_DQA_20210507080151_00,1415.0,290.01742582914954,12.54137096910359,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
7,2021-05-04 14:50:05.470000,Head_DQA_2dynamics_20210504144505_20200,1570.0,60.06922053903099,48.2444119932513,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2021-05-04 15:00:51.530000,HN_Head_DQA_2dynamics_20210504145620_20200,1494.0,105.32263245062084,52.5014260858921,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2021-05-04 15:04:55.850000,HN_Neck_DQA_2dynamics_20210504145620_30200,1060.0,110.86746533501848,67.59294748645259,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
10,2021-05-05 09:14:57.860000,Flex_L_coil_DQA_2dynamics_20210505090840_20200,1135.0,68.68384822844605,45.75103594480589,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
11,2021-05-05 09:27:25.630000,Flex_M_coil_DQA_2dynamics_20210505092249_20200,1123.0,75.15127702260656,41.38803048470194,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
12,2021-05-05 09:36:51.780000,Flex_S_coil_DQA_2dynamics_20210505093348_20200,377.0,39.012199381122386,101.61311308890917,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
