,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2024-03-14 13:22:58.630000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240314131832_301_000,741.0,181.10773649796485,14.770451545715332,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2024-03-14 13:40:12.780000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240314133116_401_000,702.0,157.52124243676982,16.188966751098633,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2024-03-14 16:30:50.260000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240314161439_401_000,828.0,199.8503917449513,16.236480712890625,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2024-03-21 08:59:18.970000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240321084548_401_000,691.0,162.65395975342582,15.644620895385742,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2024-03-28 08:24:06.100000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240328082014_201_000,716.0,171.82783650406233,15.61022663116455,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
5,2024-04-04 09:10:22.500000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20240404085532_401_000,746.0,174.07748357428767,18.349287033081055,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2024-03-14 13:33:28.580000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20240314133116_201_000,476.0,114.64455918596877,25.771291732788086,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2024-03-14 16:19:19.000000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20240314161439_201_000,887.0,218.96258500053315,16.983623504638672,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2024-03-21 08:50:48.080000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20240321084548_201_000,511.0,122.4394811606047,21.828004837036133,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2024-03-28 08:36:46.700000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20240328082014_401_000,793.0,189.80109566146163,14.774296760559082,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
