,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2022-03-10 09:01:17.310000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20220310084047_401_000,719.0,172.73539264430707,15.46645450592041,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2022-03-10 08:48:43.140000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20220310084047_201_000,700.0,168.58372986328584,17.61029815673828,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2022-03-10 09:30:02.050000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20220310091510_401_000,747.0,180.8293703650045,15.883341789245605,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2022-03-10 09:19:29.470000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20220310091510_201_000,733.0,182.5991524616321,17.939041137695312,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2022-03-12 07:59:24.440000,HN_DQA_20220312075544_00,1143.0,255.30606161614242,15.547449147529258,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2022-03-14 08:16:28.377500,HN_DQA_20220314081503_00,1357.0,278.8368991056187,13.341970170930129,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
6,2022-03-17 08:11:56.395000,HN_DQA_20220317081043_00,1120.0,228.49326140728024,16.328444965519754,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
7,2022-03-15 07:53:12.210000,Head_DQA_2dynamics_20220315075016_201_000,1204.0,50.93898443890367,64.82433319091797,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2022-03-15 08:02:46.090000,HN_Head_DQA_2dynamics_20220315075952_201_000,1472.0,131.4397219888048,54.737796783447266,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2022-03-15 08:08:14.840000,HN_Neck_DQA_2dynamics_20220315075952_301_000,1074.0,116.1410794738224,66.73466491699219,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
