,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2023-01-18 13:30:27.080000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20230118132116_401_000,764.0,186.23969537185587,15.880906,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2023-01-18 13:23:44.420000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20230118132116_201_000,795.0,192.58092950083258,15.709341,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2023-01-18 13:45:21.700000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20230118133652_401_000,728.0,175.58782533067233,17.12627,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2023-01-18 13:38:47.390000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20230118133652_201_000,733.0,179.9194154290379,18.161247,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2023-01-18 11:25:48.570000,Head_DQA_2dynamics_20230118112021_201_000,1376.0,53.78262712571607,57.649834,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
5,2023-01-18 11:36:23.980000,HN_Head_DQA_2dynamics_20230118113248_201_000,1345.0,105.62620900420283,60.437145,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2023-01-18 11:40:34.920000,HN_Neck_DQA_2dynamics_20230118113248_301_000,1066.0,93.5356948788155,68.34503,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2023-01-18 11:11:52.770000,Flex_L_coil_DQA_2dynamics_20230118110756_201_000,1671.0,98.41014909787322,29.326292,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2023-01-18 11:01:11.520000,Flex_M_coil_DQA_2dynamics_20230118105830_201_000,1353.0,113.2056144272705,32.685493,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2023-01-12 08:14:32.777500,Body18_DQA_20230112081300_00,536.0,370.4251912464021,10.622442,Siemens,Avanto_fit,"Euston Road 235-257,London,District,GB,NW1 2BW",MRC25329,Body18_DQA,0,UCLH,X-Ray,Spine_32,BO1-3;SP1-3
10,2023-01-16 08:09:42.440000,HN_DQA_20230116080834_00,1314.0,290.25135667065086,9.09825,Siemens,Avanto_fit,"Euston Road 235-257,London,District,GB,NW1 2BW",MRC25329,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
11,2023-01-17 08:25:59.395000,HN_DQA_20230116080834_00,467.0,210.99508709173182,33.76869,Siemens,Avanto_fit,"Euston Road 235-257,London,District,GB,NW1 2BW",MRC25329,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
12,2023-01-18 10:50:43.580000,Flex_S_coil_DQA_2dynamics_20230118104745_201_000,1165.0,117.57048025068903,29.926323,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
