,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName
0,2022-12-15 09:57:31.410,Ant_Post_Coil_A_Lower_DQA_2dynamics_20221215094631_401_000,782.0,183.76390889023244,15.60498,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
1,2022-12-15 09:49:47.590,Ant_Post_Coil_A_Upper_DQA_2dynamics_20221215094631_201_000,724.0,160.09335114954877,16.994238,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
2,2022-12-15 10:23:25.800,Ant_Post_Coil_B_Lower_DQA_2dynamics_20221215100414_601_000,751.0,179.91772216146953,16.966398,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
3,2022-12-15 10:07:21.790,Ant_Post_Coil_B_Upper_DQA_2dynamics_20221215100414_201_000,696.0,169.87798598445968,19.837917,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
4,2022-12-13 09:30:15.520,Head_DQA_2dynamics_20221213092329_201_000,1410.0,96.83266432201707,50.824917,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
5,2022-12-13 09:49:50.440,HN_Head_DQA_2dynamics_20221213094142_201_000,1485.0,94.93332932481654,53.414364,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
6,2022-12-13 09:55:49.330,HN_Neck_DQA_2dynamics_20221213094142_301_000,1009.0,93.67696579889918,68.60516,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI
7,2022-12-14 09:30:56.340,Flex_L_coil_DQA_2dynamics_20221214092334_201_000,1036.0,62.97875561241256,46.180454,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
8,2022-12-14 09:19:26.610,Flex_M_coil_DQA_2dynamics_20221214091345_201_000,848.0,72.14149627415543,46.172104,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
9,2022-12-14 09:09:41.840,Flex_S_coil_DQA_2dynamics_20221214085604_301_000,972.0,95.87416972735839,37.9903,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
