,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2022-10-14 10:31:46.910000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20221014101825_401_000,827.0,196.47976626804984,16.895055770874023,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2022-10-20 09:45:59.810000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20221020092826_401_000,626.0,152.65156365393955,16.325380325317383,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2022-10-14 10:23:20.670000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20221014101825_201_000,780.0,182.80446115429834,18.660207748413086,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2022-10-20 09:36:32.650000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20221020092826_201_000,604.0,135.0957037712482,17.864843368530273,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2022-10-14 10:41:43.930000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20221014103753_201_000,778.0,188.06558459488994,17.783119201660156,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
5,2022-10-20 09:24:32.920000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20221020090653_401_000,652.0,138.91818475405375,16.91822624206543,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2022-10-14 10:50:06.520000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20221014103753_401_000,734.0,179.63515813599588,19.96613121032715,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2022-10-20 09:14:42.680000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20221020090653_201_000,641.0,141.38675721030774,17.905197143554688,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2022-10-18 08:10:50.332500,HN_DQA_20221018080908_00,1437.0,289.48169576098707,12.859409711533152,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
9,2022-10-18 08:24:42.550000,Head_DQA_2dynamics_20221018081915_201_000,1407.0,102.73469719509163,52.10524368286133,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
10,2022-10-18 08:51:02.540000,HN_Head_DQA_2dynamics_20221018084108_301_000,1391.0,92.1936959043187,57.412967681884766,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
11,2022-10-18 08:56:04.480000,HN_Neck_DQA_2dynamics_20221018084108_401_000,1039.0,109.93584122496891,68.3141860961914,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
12,2022-10-19 15:46:57.780000,Flex_L_coil_DQA_2dynamics_20221019154325_201_000,1042.0,52.88695491295754,42.43936538696289,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
13,2022-10-19 16:06:11.420000,Flex_M_coil_DQA_2dynamics_20221019160129_201_000,933.0,68.79200350660417,42.01829528808594,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
14,2022-10-19 16:17:35.440000,Flex_S_coil_DQA_2dynamics_20221019161325_201_000,913.0,86.52289649940435,39.37898635864258,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
