,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2023-09-21 08:21:57.160000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20230921081404_401_000,753.0,175.77272662149883,16.15914535522461,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2023-09-21 08:16:07.350000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20230921081404_201_000,798.0,188.82279268562544,15.91915225982666,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2023-09-21 08:50:12.720000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20230921083943_401_000,790.0,178.58097560725162,16.08914566040039,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2023-09-21 08:41:48.580000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20230921083943_201_000,745.0,168.87964600906434,18.10661506652832,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2023-09-19 09:38:43.430000,Head_DQA_2dynamics_20230919093320_201_000,1464.0,91.45070581787711,54.65623474121094,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
5,2023-09-19 09:53:43.840000,HN_Head_DQA_2dynamics_20230919094725_201_000,1418.0,118.22501246080147,56.672847747802734,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2023-09-19 09:58:17.000000,HN_Neck_DQA_2dynamics_20230919094725_301_000,1075.0,98.50498080110746,70.43788146972656,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2023-09-20 14:21:21.090000,Flex_L_coil_DQA_2dynamics_20230920141453_201_000,1473.0,91.85723821750129,26.28483009338379,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2023-09-20 14:07:30.140000,Flex_M_coil_DQA_2dynamics_20230920140248_201_000,1650.0,125.78881041916026,23.389751434326172,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2023-09-15 07:51:07.362500,HN_DQA_20230915074919_00,1477.0,497.3436985792656,12.132234286825138,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
10,2023-09-18 07:41:25.365000,HN_DQA_20230918074008_00,1454.0,476.6386101739558,12.626401786647664,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
11,2023-09-14 08:00:34.855000,HN_DQA_20230914075926_00,764.0,182.14688771178297,18.827369689941406,Siemens,Avanto_fit,"Euston Road 235-257,London,District,GB,NW1 2BW",MRC25329,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
12,2023-09-20 13:55:07.970000,Flex_S_coil_DQA_2dynamics_20230920134905_201_000,1440.0,152.02686513541877,21.67913818359375,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
