,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName
0,2023-01-19 09:52:13.520,Ant_Post_Coil_A_Lower_DQA_2dynamics_20230119093654_401_000,692.0,169.02486134125687,17.529362,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
1,2023-01-26 11:47:23.180,Ant_Post_Coil_A_Lower_DQA_2dynamics_20230126113350_401_000,650.0,158.31312723624953,17.75873,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
2,2023-01-19 09:40:43.940,Ant_Post_Coil_A_Upper_DQA_2dynamics_20230119093654_201_000,737.0,182.12431437612798,18.698116,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
3,2023-01-26 11:37:50.900,Ant_Post_Coil_A_Upper_DQA_2dynamics_20230126113350_201_000,588.0,144.1306002947486,22.243769,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
4,2023-01-19 10:11:29.760,Ant_Post_Coil_B_Lower_DQA_2dynamics_20230119095957_401_000,738.0,181.8197378722654,16.129896,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
5,2023-01-26 12:16:34.060,Ant_Post_Coil_B_Lower_DQA_2dynamics_20230126115831_401_000,699.0,166.6719425875641,16.67771,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
6,2023-01-19 10:03:33.490,Ant_Post_Coil_B_Upper_DQA_2dynamics_20230119095957_201_000,808.0,194.19466640811152,16.465439,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
7,2023-01-26 12:03:27.890,Ant_Post_Coil_B_Upper_DQA_2dynamics_20230126115831_201_000,675.0,165.62162282546024,18.759172,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
8,2023-01-24 08:59:00.810,Head_DQA_2dynamics_20230124085524_201_000,1299.0,92.90843367590102,54.988968,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
9,2023-01-24 09:08:19.250,HN_Head_DQA_2dynamics_20230124090514_201_000,1467.0,81.09813428965558,54.732246,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
10,2023-01-24 09:13:05.660,HN_Neck_DQA_2dynamics_20230124090514_301_000,1017.0,109.5525237608758,71.72546,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI
11,2023-01-25 09:02:51.500,Flex_L_coil_DQA_2dynamics_20230125085918_201_000,1521.0,117.66098485442615,31.470076,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
12,2023-01-25 15:52:12.660,Flex_M_coil_DQA_2dynamics_20230125154812_201_000,1376.0,101.36538048446063,29.171581,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
13,2023-01-25 16:04:07.420,Flex_S_coil_DQA_2dynamics_20230125160042_201_000,1073.0,81.42024619304294,29.26035,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
