,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2023-08-10 09:34:17.850000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20230810092124_401_000,734.0,178.4767161843693,15.488809585571289,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2023-08-10 09:23:16.970000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20230810092124_201_000,695.0,155.08193176068193,16.51567268371582,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2023-08-10 10:04:11.130000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20230810094355_401_000,710.0,168.5174102168576,16.81300163269043,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2023-08-10 09:46:53.870000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20230810094355_201_000,679.0,167.96656911101852,18.979095458984375,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2023-08-14 07:59:11.370000,HN_DQA_20230814075802_00,1432.0,327.7410168334247,12.451807284889412,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2023-08-22 09:07:53.710000,Head_DQA_2dynamics_20230822090208_201_000,1568.0,350.72683479199,54.45966339111328,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
6,2023-08-29 08:52:28.120000,Head_DQA_2dynamics_20230829084516_201_000,1511.0,77.03084300519735,51.9736328125,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2023-08-22 09:47:31.810000,HN_Head_DQA_2dynamics_20230822093630_201_000,1449.0,81.04151751049,53.726829528808594,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2023-08-29 09:09:17.630000,HN_Head_DQA_2dynamics_20230829085934_201_000,1446.0,79.22016376211047,55.6638069152832,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2023-08-22 09:51:45.100000,HN_Neck_DQA_2dynamics_20230822093630_301_000,1086.0,103.10989317006376,69.07579040527344,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
10,2023-08-29 09:15:18.790000,HN_Neck_DQA_2dynamics_20230829085934_301_000,1074.0,100.06154970509625,69.13949584960938,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
11,2023-08-23 08:19:12.860000,Flex_L_coil_DQA_2dynamics_20230823081620_201_000,372.0,35.63817603772587,128.5563201904297,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
12,2023-08-23 08:28:41.910000,Flex_M_coil_DQA_2dynamics_20230823082535_201_000,1177.0,78.60696796900851,33.7999267578125,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
13,2023-08-25 08:20:41.367500,HN_DQA_20230825081836_00,1102.0,233.62015634540205,16.53662490301549,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
14,2023-08-23 08:42:25.150000,Flex_S_coil_DQA_2dynamics_20230823083258_201_000,1139.0,95.49230086028915,31.775693893432617,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
